,date,filing_date,currency_symbol,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding
2022-12-31,2022-12-31,2023-01-31,USD,82338000000.00,593000000.00,,2941000000.00,36440000000.00,44704000000.00,,7142000000.00,3000000.00,3000000.00,12885000000.00,5970000000.00,194000000.00,4193000000.00,16253000000.00,16253000000.00,26709000000.00,2810000000.00,-13154000000.00,1502000000.00,1016000000.00,3099000000.00,32177000000.00,36635000000.00,40917000000.00,,44295000000.00,5932000000.00,2952000000.00,1029000000.00,12839000000.00,15255000000.00,,,,-361000000.00,,,,,,,4193000000.00,,41421000000.00,3703000000.00,1597000000.00,553000000.00,9731000000.00,,,,32177000000.00,82338000000.00,22185000000.00,36635000000.00,36635000000.00,,14208000000.00,46749000000.00,3475000000.00
2021-12-31,2021-12-31,2022-02-07,USD,62131000000.00,1517000000.00,,1723000000.00,31116000000.00,30189000000.00,,5719000000.00,1000000.00,1000000.00,331000000.00,5598000000.00,200000000.00,3398000000.00,17576000000.00,17576000000.00,19705000000.00,2372000000.00,-8703000000.00,1589000000.00,1088000000.00,8873000000.00,29803000000.00,31176000000.00,27100000000.00,,29732000000.00,131000000.00,1913000000.00,4254000000.00,5757000000.00,10025000000.00,,826000000.00,,54000000.00,,1000000.00,,331000000.00,,,2138000000.00,,35031000000.00,3531000000.00,5245000000.00,10843000000.00,11411000000.00,,568000000.00,,29803000000.00,61305000000.00,17707000000.00,31176000000.00,31176000000.00,,7395000000.00,35531000000.00,3100522833.00
2020-12-31,2020-12-31,2021-02-08,USD,52148000000.00,313000000.00,,1346000000.00,28469000000.00,22225000000.00,,3855000000.00,1000000.00,1000000.00,-5399000000.00,4614000000.00,207000000.00,12164000000.00,19384000000.00,19384000000.00,14248000000.00,2210000000.00,-7645000000.00,2132000000.00,2132000000.00,11739000000.00,27260000000.00,12747000000.00,26717000000.00,,22360000000.00,,1886000000.00,9607000000.00,4101000000.00,6051000000.00,,850000000.00,,363000000.00,,1000000.00,,-5399000000.00,,,1536000000.00,,25431000000.00,1540000000.00,9607000000.00,14170000000.00,14221000000.00,,655000000.00,,27260000000.00,52148000000.00,19384000000.00,23375000000.00,23375000000.00,,12469000000.00,33964000000.00,3249000000.00
2019-12-31,2019-12-31,2020-02-13,USD,34309000000.00,339000000.00,,959000000.00,26199000000.00,6618000000.00,,3222000000.00,1000000.00,0.00,-6083000000.00,2969000000.00,198000000.00,1469000000.00,6268000000.00,6268000000.00,10667000000.00,1889000000.00,7151000000.00,1785000000.00,1785000000.00,13419000000.00,12737000000.00,20199000000.00,12103000000.00,1000000.00,6081000000.00,,1324000000.00,11634000000.00,3552000000.00,3771000000.00,,,,-36000000.00,,,,,,,1470000000.00,,22206000000.00,1050000000.00,11634000000.00,408000000.00,15532000000.00,,,,12736819000.00,34309000000.00,6268000000.00,20199000000.00,20199000000.00,,1436000000.00,20037000000.00,2661000000.00
2018-12-31,2018-12-31,2019-02-19,USD,29739614000.00,282492000.00,,558222000.00,23426010000.00,4923243000.00,,2597093000.00,173000.00,173000.00,-5317832000.00,2318000000.00,68159000.00,1380000000.00,3685618000.00,3685618000.00,9992136000.00,1422893000.00,8285753000.00,2567699000.00,2567699000.00,11971371000.00,10249120000.00,19691000000.00,8306308000.00,421548000.00,4573000000.00,192551000.00,949022000.00,9403672000.00,3113446000.00,3404451000.00,,834397000.00,,-8218000.00,,173000.00,,-5317832000.00,,,1391424000.00,,21433306000.00,1855900000.00,9403672000.00,636409000.00,13433874000.00,,555964000.00,,10249120000.00,29739614000.00,3685618000.00,19691231000.00,19691231000.00,,-1685828000.00,16894614000.00,2559000000.00
2017-12-31,2017-12-31,2018-02-23,USD,28655372000.00,361502000.00,,423688000.00,23023050000.00,4237242000.00,1177799000.00,2518699000.00,169000.00,,-4974299000.00,4196294000.00,60237000.00,1166193000.00,3367914000.00,3367914000.00,7636147000.00,1869172000.00,6947024000.00,858026000.00,896549000.00,10314938000.00,9178024000.00,20491616000.00,6570520000.00,456652000.00,3815503000.00,155323000.00,515381000.00,9418389000.00,2263537000.00,2390250000.00,0.00,997346000.00,0.00,33348000.00,9178024000.00,169000.00,70000.00,-4974299000.00,0.00,,1171497000.00,,22084852000.00,1801010000.00,9415700000.00,2695386000.00,15386903000.00,,397804000.00,,9178024000.00,28655372000.00,3367914000.00,20491616000.00,20491616000.00,,-1104150000.00,14552180000.00,2490000000.00
2016-12-31,2016-12-31,2017-03-01,USD,22664076000.00,376145000.00,,299984000.00,16758951000.00,4752911000.00,851790000.00,1389532000.00,161000.00,,-2997237000.00,3546009000.00,0.00,991218000.00,3393216000.00,3393216000.00,5827005000.00,1426985000.00,3735215000.00,1150147000.00,1150147000.00,7128431000.00,7773727000.00,15036917000.00,6259796000.00,506302000.00,4376766000.00,105519000.00,499142000.00,5978284000.00,2067454000.00,1860341000.00,0.00,785175000.00,0.00,-23740000.00,7773727000.00,161000.00,8784000.00,-2997237000.00,0.00,,991218000.00,,16404280000.00,1459684000.00,5860049000.00,2507395000.00,10931946000.00,,375823000.00,,7773727000.00,22664076000.00,3393216000.00,15036917000.00,15036917000.00,,,,2163180000.00
2015-12-31,2015-12-31,2016-02-24,USD,8092460000.00,12816000.00,,147857000.00,7003516000.00,1088944000.00,446105000.00,-633166000.00,131000.00,,-2322323000.00,1903433000.00,0.00,91196000.00,1174280000.00,,1622315000.00,283370000.00,1518677000.00,633166000.00,675212000.00,2715585000.00,3414692000.00,3403334000.00,2791568000.00,,1130989000.00,22628000.00,168965000.00,2068378000.00,1277838000.00,1338945000.00,0.00,0.00,0.00,-3556000.00,0.00,131000.00,42045000.00,-2322323000.00,0.00,,106155000.00,,5300892000.00,,2040375000.00,1658717000.00,5381201000.00,,42045000.00,,3414692000.00,8092460000.00,1196908000.00,5194737000.00,5194737000.00,,,,1923030000.00
2014-12-31,2014-12-31,2015-02-26,USD,5849251000.00,0.00,,112665000.00,4937541000.00,911710000.00,292271000.00,-632128000.00,126000.00,,-1433682000.00,953394000.00,0.00,54583000.00,1887766000.00,,1304417000.00,257587000.00,582366000.00,632128000.00,669295000.00,2488079000.00,2345266000.00,1829267000.00,3198657000.00,,969906000.00,17947000.00,226604000.00,1806518000.00,953675000.00,1046830000.00,0.00,0.00,0.00,-292590000.00,0.00,126000.00,58196000.00,-1433682000.00,0.00,,54583000.00,,2650594000.00,12267000.00,1818785000.00,661123000.00,3633124000.00,,58196000.00,,2345266000.00,5849251000.00,1905713000.00,2596011000.00,2596011000.00,,,,1868085000.00
2013-12-31,2013-12-31,2014-02-26,USD,2416930000.00,13930000.00,,30586000.00,1749809000.00,667121000.00,181180000.00,-7904000.00,123000.00,,-1139620000.00,468855000.00,0.00,16142000.00,845889000.00,,575374000.00,163153000.00,-239011000.00,7904000.00,,606878000.00,1806618000.00,1120919000.00,1265939000.00,,,3012000.00,49109000.00,598974000.00,340355000.00,412221000.00,0.00,0.00,0.00,-140142000.00,0.00,123000.00,0.00,0.00,0.00,,16142000.00,,1150991000.00,,,,1174435000.00,,,,,2416930000.00,845889000.00,1120919000.00,1120919000.00,,,,1791315000.00
