date,open,high,low,close,adjusted_close,volume
2006-03-01,4.5539,4.5836,4.5401,4.5756,4.5756,0
2006-03-02,4.5846,4.6511,4.5756,4.6481,4.6481,0
2006-03-03,4.6422,4.6871,4.6302,4.6871,4.6871,0
2006-03-06,4.6871,4.7282,4.6801,4.7082,4.7082,0
2006-03-07,4.7434,4.7989,4.7343,4.7454,4.7454,0
2006-03-08,4.7293,4.7565,4.7092,4.7414,4.7414,0
2006-03-09,4.7263,4.7565,4.7233,4.7414,4.7414,0
2006-03-10,4.7365,4.786,4.7084,4.7748,4.7748,0
2006-03-13,4.7648,4.7971,4.7587,4.785,4.785,0
2006-03-14,4.7749,4.777,4.7024,4.7145,4.7145,0
2006-03-15,4.6994,4.7386,4.6894,4.7356,4.7356,0
2006-03-16,4.7256,4.7498,4.6594,4.6704,4.6704,0
2006-03-17,4.6504,4.6835,4.6355,4.6725,4.6725,0
2006-03-20,4.6785,4.6845,4.6385,4.6445,4.6445,0
2006-03-21,4.6715,4.7097,4.6425,4.7097,4.7097,0
2006-03-22,4.7137,4.7309,4.6826,4.7087,4.7087,0
2006-03-23,4.7007,4.7329,4.6826,4.7289,4.7289,0
2006-03-24,4.7351,4.7421,4.6787,4.6827,4.6827,0
2006-03-27,4.6767,4.6998,4.6637,4.6978,4.6978,0
2006-03-28,4.7039,4.7604,4.6958,4.7544,4.7544,0
2006-03-29,4.7838,4.8102,4.7706,4.798,4.798,0
2006-03-30,4.797,4.8582,4.7879,4.8582,4.8582,0
2006-03-31,4.8594,4.8799,4.8257,4.8492,4.8492,0
2006-04-03,4.8442,4.9056,4.837,4.8677,4.8677,0
2006-04-04,4.8677,4.8749,4.832,4.8545,4.8545,0
2006-04-05,4.8657,4.8667,4.831,4.8402,4.8402,0
2006-04-06,4.8494,4.9049,4.8393,4.9007,4.9007,0
2006-04-07,4.9018,4.9629,4.8743,4.9577,4.9577,0
2006-04-10,4.9785,4.9878,4.9785,4.9878,4.9878,0
2006-04-11,4.9506,4.9589,4.9187,4.9414,4.9414,0
2006-04-12,4.9238,4.9683,4.9023,4.959,4.959,0
2006-04-13,4.9797,5.0433,4.9663,5.0329,5.0329,0
2006-04-14,4.9797,5.0516,4.9663,5.0454,5.0454,0
2006-04-17,5.0385,5.0448,5.0073,5.0302,5.0302,0
2006-04-18,5.0114,5.0115,4.9679,4.9887,4.9887,0
2006-04-19,4.9919,5.0565,4.9452,5.0419,5.0419,0
2006-04-20,5.0263,5.0441,5.0149,5.0274,5.0274,0
2006-04-21,5.0403,5.0518,5.0027,5.0413,5.0413,0
2006-04-24,5.0091,5.0247,4.9747,4.983,4.983,0
2006-04-25,4.9811,5.0782,4.9655,5.0667,5.0667,0
2006-04-26,5.0731,5.1235,5.0615,5.1025,5.1025,0
2006-04-27,5.1026,5.1427,5.0512,5.0585,5.0585,0
2006-04-28,5.0641,5.1167,5.0526,5.0841,5.0841,0
2006-05-01,5.0632,5.1379,5.0454,5.1327,5.1327,0
2006-05-02,5.1571,5.1571,5.1075,5.1233,5.1233,0
2006-05-03,5.1287,5.1689,5.1055,5.1552,5.1552,0
2006-05-04,5.1426,5.1754,5.1246,5.1511,5.1511,0
2006-05-05,5.1515,5.1589,4.8147,5.1124,5.1124,0
2006-05-08,5.1051,5.1336,5.0988,5.1294,5.1294,0
2006-05-09,5.1116,5.1433,5.1053,5.137,5.137,0
2006-05-10,5.1329,5.1498,5.0949,5.1022,5.1022,0
2006-05-11,5.1267,5.168,5.1161,5.1616,5.1616,0
2006-05-12,5.1341,5.1928,5.128,5.1857,5.1857,0
2006-05-15,5.1968,5.2049,5.1371,5.1411,5.1411,0
2006-05-16,5.1593,5.1674,5.1018,5.1038,5.1038,0
2006-05-17,5.1048,5.1856,5.0967,5.1745,5.1745,0
2006-05-18,5.1502,5.1664,5.0806,5.1007,5.1007,0
2006-05-19,5.0685,5.0906,5.0204,5.0244,5.0244,0
2006-05-22,5.0624,5.0624,4.9874,4.9953,4.9953,0
2006-05-23,5.0343,5.0885,5.0273,5.0644,5.0644,0
2006-05-24,5.0152,5.0483,4.9833,5.0363,5.0363,0
2006-05-25,5.0422,5.0613,5.0222,5.0392,5.0392,0
2006-05-26,5.0783,5.1045,5.0421,5.0531,5.0531,0
2006-05-29,5.0783,5.1045,5.0401,5.0491,5.0491,0
2006-05-30,5.0591,5.0873,5.0451,5.0803,5.0803,0
2006-05-31,5.0691,5.0893,5.0531,5.0893,5.0893,0
2006-06-01,5.1307,5.1479,5.0913,5.1044,5.1044,0
2006-06-02,5.1023,5.1094,4.9948,5.0018,5.0018,0
2006-06-05,4.9947,5.0147,4.9837,4.9997,4.9997,0
2006-06-06,5.0197,5.0478,4.9927,5.0057,5.0057,0
2006-06-07,5.0046,5.0468,4.9976,5.0297,5.0297,0
2006-06-08,5.0187,5.0227,4.9536,4.9666,4.9666,0
2006-06-09,4.9996,5.0145,4.9704,4.9804,4.9804,0
2006-06-12,4.9804,5.0064,4.9734,4.9974,4.9974,0
2006-06-13,4.9824,4.9883,4.9434,4.9733,4.9733,0
2006-06-14,4.9583,5.0446,4.9553,5.0415,5.0415,0
2006-06-15,5.0587,5.1051,5.0455,5.1021,5.1021,0
2006-06-16,5.1021,5.1112,5.0616,5.099,5.099,0
2006-06-19,5.1243,5.1559,5.1203,5.1508,5.1508,0
2006-06-20,5.1386,5.1712,5.1142,5.164,5.164,0
2006-06-21,5.1518,5.161,5.1335,5.1528,5.1528,0
2006-06-22,5.1538,5.1998,5.1457,5.1967,5.1967,0
2006-06-23,5.21,5.2316,5.1722,5.2285,5.2285,0
2006-06-26,5.2295,5.2439,5.2141,5.2316,5.2316,0
2006-06-27,5.2347,5.2367,5.1936,5.2059,5.2059,0
2006-06-28,5.2049,5.2295,5.1936,5.2234,5.2234,0
2006-06-29,5.2419,5.2481,5.21,5.2172,5.2172,0
2006-06-30,5.1926,5.2306,5.1629,5.1681,5.1681,0
2006-07-03,5.1446,5.1721,5.1405,5.164,5.164,0
2006-07-04,5.1446,5.1721,5.1405,5.1507,5.1507,0
2006-07-05,5.1415,5.243,5.1364,5.2317,5.2317,0
